Title,Year,Genre,Watched
Life of Pi,2012,"Adventure, Drama, Fantasy",No
Lone Survivor,2013,"Action, Biography, Drama",No
Apocalypse Now,1979,"Drama, Mystery, War",No
Miracle on Ice,1981,"Drama, Sport",No
Happy Gilmore,1996,"Comedy, Sport",No
Caddyshack,1980,"Comedy, Sport",No
Airplane!,1980,Comedy,No
127 Hours,2010,"Biography, Drama",No
ParaNorman,2012,"Animation, Adventure, Comedy",No
Alive,1993,"Biography, Drama, Thriller",No
Se7en,1995,"Crime, Drama, Mystery",No
Pulp Fiction,1994,"Crime, Drama",No
The Revenant,2015,"Adventure, Drama, Western",No
Cast Away,2000,"Adventure, Drama, Romance",No
Good Will Hunting,1997,"Drama, Romance",No
Dead Poets Society,1989,"Comedy, Drama",No
Source Code,2011,"Action, Drama, Mystery",No
12 Monkeys,1995,"Mystery, Sci-Fi, Thriller",No
A Beautiful Mind,2001,"Biography, Drama, Mystery",No
Nobody,2021,"Action, Crime, Drama",No
The Gentlemen,2019,"Action, Crime",No
Trance,2013,"Crime, Drama, Mystery",No
Charm City Kings,2020,Drama,No
Shutter Island,2010,"Drama, Mystery, Thriller",No
The Village,2004,"Drama, Mystery, Thriller",No
Get Out,2017,"Horror, Mystery, Thriller",No
Atonement,2007,"Drama, Mystery, Romance",No
Arrival,2016,"Drama, Mystery, Sci-Fi",No
Gone Baby Gone,2007,"Crime, Drama, Mystery",No
The Prestige,2006,"Drama, Mystery, Sci-Fi",No
The Others,2001,"Horror, Mystery, Thriller",No
Gone Girl,2014,"Drama, Mystery, Thriller",No
The Sixth Sense,1999,"Drama, Mystery, Thriller",No
Us,2019,"Horror, Mystery, Thriller",No
Inglourious Basterds,2009,"Adventure, Drama, War",No
The Cabin in the Woods,2011,"Horror, Mystery, Thriller",No
Donnie Darko,2001,"Drama, Mystery, Sci-Fi",No
Now You See Me,2013,"Crime, Mystery, Thriller",No
The Thing,1982,"Horror, Mystery, Sci-Fi",No
Doubt,2008,"Drama, Mystery",No
Touching the Void,2003,"Documentary, Adventure, Drama",No
Arctic,2018,"Adventure, Drama",No
Das Boot,1981,"Drama, War",No
12 Angry Men,1957,"Crime, Drama",No
The Truman Show,1998,"Comedy, Drama",No
The Machinist,2004,"Drama, Thriller",No
Triangle,2009,"Fantasy, Mystery, Sci-Fi",No
The Thirteenth Floor,1999,"Mystery, Sci-Fi, Thriller",No
Layer Cake,2004,"Crime, Drama, Thriller",No
Insomnia,2002,"Drama, Mystery, Thriller",No
Stay,2005,"Drama, Mystery, Thriller",No
Cure,1997,"Crime, Horror, Mystery",No
Oldboy,2003,"Action, Drama, Mystery",No
The Hurt Locker,2008,"Drama, Thriller, War",No
The Greatest Showman,2017,"Biography, Drama, Musical",No
Only the Brave,2017,"Action, Biography, Drama",No
Prisoners,2013,"Crime, Drama, Mystery",No
Everest,2015,"Adventure, Biography, Drama",No
Zodiac,2007,"Crime, Drama, Mystery",No
Burning,2018,"Drama, Mystery, Thriller",No
Split,2016,"Horror, Thriller",No
The Hateful Eight,2015,"Crime, Drama, Mystery",No
The VelociPastor,2018,"Action, Adventure, Comedy",No
The Usual Suspects,1995,"Crime, Drama, Mystery",No
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",No
Rudy,1993,"Biography, Drama, Sport",No
Everything Everywhere All at Once,2022,"Action, Adventure, Comedy",No
American Made,2017,"Action, Comedy, Crime",No
Memories of Murder,2003,"Crime, Drama, Mystery",No
Richard Jewell,2019,"Biography, Crime, Drama",No
Come and See,1985,"Drama, Thriller, War",No
"Planes, Trains & Automobiles",1987,"Comedy, Drama",No
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",No
Blade Runner 2049,2017,"Action, Drama, Mystery",No
Menace II Society,1993,"Crime, Drama, Thriller",No
No Country for Old Men,2007,"Crime, Drama, Thriller",No
Logan Lucky,2017,"Action, Comedy, Crime",No
The Harder They Fall,2021,"Action, Drama, Western",No
Drive,2011,"Action, Drama",No
Cloverfield,2008,"Action, Horror, Sci-Fi",No
Glass Onion,2022,"Comedy, Crime, Drama",No
Zoolander,2001,Comedy,No
Candyman,1992,"Horror, Thriller",No
Train to Busan,2016,"Action, Horror, Thriller",No
In Bruges,2008,"Comedy, Crime, Drama",No
The Haunting of Hill House,2018,"Drama, Horror, Mystery",No
American Assassin,2017,"Action, Thriller",No
BlacKkKlansman,2018,"Biography, Comedy, Crime",No
Hell or High Water,2016,"Crime, Drama, Thriller",No
The Banshees of Inisherin,2022,"Comedy, Drama",No
La haine,1995,"Crime, Drama",No
There Will Be Blood,2007,Drama,No
The Royal Tenenbaums,2001,"Comedy, Drama",No
Triangle of Sadness,2022,"Comedy, Drama",No
Sound of Metal,2019,"Drama, Music",No
Undercover Brother,2002,"Action, Comedy",No
Hall Pass,2011,"Comedy, Romance",No
The Watch,2012,"Comedy, Sci-Fi",No
Green Book,2018,"Biography, Comedy, Drama",No
The Martian,2015,"Adventure, Drama, Sci-Fi",No
Monsters vs. Aliens,2009,"Animation, Action, Adventure",No
The Naked Gun,2025,"Action, Comedy, Crime",No
Hot Shots!,1991,"Action, Comedy",No
21 Jump Street,2012,"Action, Comedy, Crime",No
The Benchwarmers,2006,"Comedy, Sport",No
Last Night in Soho,2021,"Drama, Horror, Mystery",No
Sisu,2022,"Action, Drama, Thriller",No
Greyhound,2020,"Drama, History, War",No
Blue Caprice,2013,"Biography, Crime, Drama",No
Ad Astra,2019,"Adventure, Drama, Mystery",No
Easy A,2010,"Comedy, Drama, Romance",No
The Beach,2000,"Adventure, Drama, Romance",No
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",No
Fargo,1996,"Crime, Drama, Thriller",No
The Big Lebowski,1998,"Comedy, Crime",No
Raising Arizona,1987,"Comedy, Crime",No
Deepwater Horizon,2016,"Action, Drama, History",No
Cool Runnings,1993,"Adventure, Comedy, Family",No
What We Do in the Shadows,2014,"Comedy, Horror",No
Extra Ordinary,2019,"Comedy, Fantasy, Horror",No
Dog Day Afternoon,1975,"Biography, Crime, Drama",No
The Nice Guys,2016,"Action, Comedy, Crime",No
The Quick and the Dead,1995,"Action, Drama, Romance",No
Children of Men,2006,"Drama, Sci-Fi, Thriller",No
Godzilla Minus One,2023,"Action, Adventure, Drama",No
Civil War,2024,"Action, Thriller",No
The Ministry of Ungentlemanly Warfare,2024,"Action, Comedy, War",No
Shooter,2007,"Action, Drama, Thriller",No
Inside Man,2006,"Crime, Drama, Mystery",No
Margin Call,2011,"Drama, Thriller",No
Missing Link,2019,"Animation, Adventure, Comedy",No
The Shawshank Redemption,1994,Drama,No
The Godfather,1972,"Crime, Drama",No
The Godfather Part II,1974,"Crime, Drama",No
The Dark Knight,2008,"Action, Crime, Drama",No
Schindler's List,1993,"Biography, Drama, History",No
"The Good, the Bad and the Ugly",1966,"Adventure, Drama, Western",No
The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy",No
Fight Club,1999,"Crime, Drama, Thriller",No
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",No
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",No
Forrest Gump,1994,"Drama, Romance",No
Inception,2010,"Action, Adventure, Sci-Fi",No
One Flew Over the Cuckoo's Nest,1975,Drama,No
The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy",No
Goodfellas,1990,"Biography, Crime, Drama",No
The Matrix,1999,"Action, Sci-Fi",No
Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",No
Seven Samurai,1954,"Action, Drama",No
City of God,2002,"Crime, Drama",No
The Silence of the Lambs,1991,"Crime, Drama, Horror",No
It's a Wonderful Life,1946,"Drama, Family, Fantasy",No
Life Is Beautiful,1997,"Comedy, Drama, Romance",No
Léon: The Professional,1994,"Action, Crime, Drama",No
Once Upon a Time in the West,1968,"Drama, Western",No
Interstellar,2014,"Adventure, Drama, Sci-Fi",No
Saving Private Ryan,1998,"Drama, War",No
American History X,1998,"Crime, Drama",No
Spirited Away,2001,"Animation, Adventure, Family",No
Casablanca,1942,"Drama, Romance, War",No
Raiders of the Lost Ark,1981,"Action, Adventure",No
Psycho,1960,"Drama, Horror, Mystery",No
City Lights,1931,"Comedy, Drama, Romance",No
Rear Window,1954,"Drama, Mystery, Thriller",No
The Untouchables,1987,"Crime, Drama, Thriller",No
Modern Times,1936,"Comedy, Drama, Romance",No
Terminator 2: Judgment Day,1991,"Action, Adventure, Sci-Fi",No
Whiplash,2014,"Drama, Music",No
The Green Mile,1999,"Crime, Drama, Fantasy",No
The Pianist,2002,"Biography, Drama, Music",No
Memento,2000,"Drama, Mystery, Thriller",No
The Departed,2006,"Crime, Drama, Thriller",No
Gladiator,2000,"Action, Adventure, Drama",No
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",No
Scooby-Doo 2: Monsters Unleashed,2004,"Adventure, Comedy, Family",No
